197;ACCUEIL RELAIS PETITE ENFANCE;1, ALLEE DES AMANDIERS;97231;Très satisfaisant;14.676013,-60.9446;3169;99
198;ACCUEIL SAINT AUBIN LES ELBEUF;100 RUE DU BEAU SITE;76410;Très satisfaisant;49.303735,1.051024;2174;99
199;ACCUEIL SAINT JOSEPH D'ALLEX;4 MTE DE LA BUTTE;26400;Satisfaisant;44.763138,4.91794;87;99
200;ACHAMPS (GAEC DES);Darsac;43270;Satisfaisant;45.136144,3.722945;6547;71
201;ACHI;13 B AV PARMENTIER;75011;Satisfaisant;48.859827,2.378748;4414;98
202;ACHI;13 B AV PARMENTIER;75011;Très satisfaisant;48.859827,2.378748;4414;46
203;ACM DE MITRY;12 PL BELLEVUE;77290;Satisfaisant;48.973551,2.63562;3864;99
204;ACOM;257, RUE LECOURBE;75015;Très satisfaisant;48.838852,2.290699;4418;1
205;ACOM;257, RUE LECOURBE;75015;Très satisfaisant;48.838852,2.290699;4418;80
206;ACPPA ACCUEIL ET CONFORT POUR PERSONNES AGEES;10 montée du château;69720;Satisfaisant;45.690294,5.028232;5186;99
207;ACQUA ET FARINE;4 B PLACE DE LA PUCELLE D ORLEANS;76000;Satisfaisant;49.441934,1.088823;5008;98
208;ACSENT DE PROVENCE;112 AV AM PIERRE ANDRE DE SUFFREN;13470;Satisfaisant;43.265015,5.567947;1031;99
209;ACSENT DE PROVENCE;160 CHE DES CRAUX;13400;Satisfaisant;43.299698,5.604311;275;99
210;ACSENT DES CONFLUENCES;ACSENT DES CONFLUENCES;26100;Satisfaisant;45.045165,5.078545;4982;99
211;ACSIA FUSION;35 RUE LA BOETIE;75008;Très satisfaisant;48.873687,2.31513;4431;98
212;ACTIRETRAITE RAMERUPT;2 RUE DES ANCIENS COMBATTANTS;10240;Satisfaisant;48.521042,4.291242;4848;99
213;ACTIVITES COMMERCIALES;BOULEVARD VICTOR HUGO;38110;Très satisfaisant;45.569293,5.44418;2846;99
214;ADAGES ESAT COMMERCIAL;1 ALLEE LOUIS PAILLES;34920;Satisfaisant;43.652254,3.938905;3058;99
215;ADAGIO ACCESS PARIS REUILLY;13 rue de Reuilly;75012;Très satisfaisant;48.848991,2.385654;4412;98
216;ADAM;ADAM;33130;Satisfaisant;44.802072,-0.551312;532;46
217;ADAM;47 RUE MONSIEUR LE PRINCE;75006;Satisfaisant;48.849438,2.340295;4429;1
218;ADAM HERVE;Centre Commercial Beauséjour;60400;Satisfaisant;49.580025,2.990413;4279;101
219;ADAM PIERRICK;1 RUE CAS DES NOES;22980;Très satisfaisant;48.433781,-2.218357;4591;11
220;ADANA KEBAB LE LARA;3 RUE DES 3 FRERES TERRIER;61150;Satisfaisant;48.718562,-0.125866;1864;98
221;ADANA KEBAB LE LARA;7 RUE DES DEPORTES;61430;Très satisfaisant;48.810713,-0.499637;271;98
222;ADANALI RESTAURANT;29 GRANDE RUE FRANCOIS MITTERRAND;90800;Satisfaisant;47.620884,6.835581;468;98
223;ADANALIAN JEANNOT;3, Boulevard Jean Labro;13016;Très satisfaisant;43.356571,5.342647;3681;11
224;ADAPAH08;1 RUE DU CERCLE;8440;Très satisfaisant;49.735292,4.825457;6783;99
225;ADAPEI;9 RUE DE LA FORGE;21310;Satisfaisant;47.382913,5.331546;627;99
226;ADAPEI;7 RUE DES FOULONS;45400;Satisfaisant;47.946944,1.927992;2088;99
227;ADAPEI 35;17 BD DE LA HAIE DES COGNETS;35136;Satisfaisant;48.083673,-1.730004;5474;98
228;ADAPEI 41 - LES PAPILLONS BLANCS;55 RUE DES MACONS;41120;Satisfaisant;47.523245,1.374128;1119;99
229;ADAPEI 79;IMP DE LA JAMINE;79230;Très satisfaisant;46.291736,-0.409508;32;99
230;ADAPEI ARIA DE VENDEE;IMP ST JOSEPH;85170;Très satisfaisant;46.764007,-1.503974;3153;99
231;ADAPEI DU PUY DE DOME;62 BOULEVARD SAINT JEAN;63100;Très satisfaisant;45.786983,3.119907;1449;99
232;ADAPEI LES HAUTS DE CLAIREFONTAINE;104, Rue de l'Oradou;63000;Très satisfaisant;45.770128,3.106688;1449;99
233;ADAPEI LES PAPILLONS BLANCS;LES COUETS;44340;Satisfaisant;47.179081,-1.588232;754;99
